Welcome!!!
report first level market breadth
HS300 index
114 : 60.00%
115 : 80.00%
116 : 80.00%
117 : 40.00%
report HY435 航空
113 : 25.00%
114 : 37.50%
115 : 50.00%
116 : 12.50%
117 : 12.50%
report HY439 机场服务
113 : 25.00%
114 : 50.00%
115 : 25.00%
116 : 0.00%
117 : 0.00%
report HY449 家用电器
113 : 40.38%
114 : 69.23%
115 : 67.31%
116 : 67.31%
117 : 67.31%
report HY454 鞋类
113 : 44.44%
114 : 66.67%
115 : 66.67%
116 : 66.67%
117 : 88.89%
report HY493 多元化银行
113 : 12.50%
114 : 81.25%
115 : 50.00%
116 : 37.50%
117 : 75.00%
report HY494 区域性银行
113 : 0.00%
114 : 71.43%
115 : 42.86%
116 : 33.33%
117 : 76.19%
report HY496 多元化金融
113 : 75.00%
114 : 100.00%
115 : 100.00%
116 : 50.00%
117 : 75.00%
report HY501 投资银行业与经纪业
113 : 63.83%
114 : 97.87%
115 : 93.62%
116 : 65.96%
117 : 70.21%
report HY505 多元化保险
113 : 66.67%
114 : 100.00%
115 : 100.00%
116 : 66.67%
117 : 100.00%
report HY444 汽车制造
113 : 53.85%
114 : 80.77%
115 : 84.62%
116 : 65.38%
117 : 80.77%
report HY445 摩托车制造
113 : 25.00%
114 : 50.00%
115 : 100.00%
116 : 25.00%
117 : 25.00%
report HY576 汽车零售
113 : 0.00%
114 : 55.56%
115 : 55.56%
116 : 11.11%
117 : 22.22%
report HY426 建筑机械与重型卡车
113 : 42.22%
114 : 86.67%
115 : 73.33%
116 : 51.11%
117 : 44.44%
report HY466 互联网零售
113 : 50.00%
114 : 100.00%
115 : 100.00%
116 : 75.00%
117 : 50.00%
report HY601 新能源发电业
113 : 65.00%
114 : 75.00%
115 : 70.00%
116 : 60.00%
117 : 60.00%
long arrange -----------------------------------------------
-----Stock trend report: 美的集团-----
{'code': '000333.XSHE', 'display_name': '美的集团', 'name': 'MDJT', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 4.14%
ema20 bias: 4.71%
ema5 > ema20: False
ema5 angle
0    30.337823
1    30.405487
2    45.787694
3    25.263647
4    40.847102
ema20 angle
0    16.926558
1    18.342226
2    25.727814
3    20.557120
4    26.401983
NATR
108    2.810596
109    2.787492
110    2.721629
111    2.670339
112    2.607299
113    2.546833
114    2.508262
115    2.506726
116    2.505990
117    2.475836
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805888  000333.XSHE   22.2142             NaN    4.8569    1.9257    31.6393     702302.1875   5098.7139      684017.4375               4965.9668  2020-10-01       21.0593


-----Stock trend report: 潍柴动力-----
{'code': '000338.XSHE', 'display_name': '潍柴动力', 'name': 'WCDL', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 2.90%
ema20 bias: 1.76%
ema5 > ema20: True
ema5 angle
0    13.082128
1    13.039012
2     8.589985
3     9.687272
4     6.869299
ema20 angle
0    3.194490
1    4.141073
2    3.693530
3    4.483144
4    4.166252
NATR
108    3.539377
109    3.487258
110    3.462280
111    3.352947
112    3.291872
113    3.325769
114    3.199931
115    3.138296
116    2.995304
117    2.887886
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58808468  000338.XSHE   14.0981             NaN    2.4596    0.6731    27.6481      793387.375    1198.015      424431.5938                640.8917  2020-10-01       13.1578


-----Stock trend report: 泸州老窖-----
{'code': '000568.XSHE', 'display_name': '泸州老窖', 'name': 'LZLJ', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 3.63%
ema20 bias: 9.87%
ema5 > ema20: False
ema5 angle
0    45.379292
1    69.942108
2    63.951557
3    37.976110
4    45.390954
ema20 angle
0    23.296256
1    44.395053
2    43.492393
3    34.671339
4    37.479885
NATR
108    4.287913
109    4.134045
110    4.070068
111    3.992171
112    3.942053
113    3.832644
114    3.763390
115    3.699660
116    3.701380
117    3.558461
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805718  000568.XSHE   41.1264             NaN   11.7001   13.6196   170.2889       146475.25   2102.6521      146430.6562               2102.0122  2020-10-01       45.2964


-----Stock trend report: 长安汽车-----
{'code': '000625.XSHE', 'display_name': '长安汽车', 'name': 'CAQC', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 6.65%
ema20 bias: 10.01%
ema5 > ema20: False
ema5 angle
0    11.045740
1    10.765661
2    31.247616
3    14.278965
4    11.475324
ema20 angle
0     3.945168
1     4.547727
2    11.810777
3     8.325299
4     8.077604
NATR
108    4.427466
109    4.324707
110    4.420521
111    4.542922
112    4.418606
113    4.323030
114    4.177019
115    4.341376
116    4.551924
117    4.443477
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805490  000625.XSHE   29.3783             NaN    1.3821    0.8775      9.665     480264.8438    644.9957      390064.3438                523.8564  2020-10-01      -24.3696


-----Stock trend report: 华兰生物-----
{'code': '002007.XSHE', 'display_name': '华兰生物', 'name': 'HLSW', 'type': 'stock', 'parent': None}
above5: False
above20: True
above60: True
long arrange: True
ema5 bias: 6.58%
ema20 bias: 4.27%
ema5 > ema20: True
ema5 angle
0    65.005965
1    58.524116
2    51.978017
3    -0.613594
4    -1.936225
ema20 angle
0    38.106645
1    37.513034
2    36.828103
3    23.310007
4    20.917875
NATR
108    4.955675
109    5.092441
110    5.212572
111    5.200972
112    5.002282
113    4.940087
114    4.827961
115    4.935718
116    5.186372
117    5.052652
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806187  002007.XSHE   80.7093             NaN   15.9829   28.2232   235.0787     182436.6719   1039.7065      156696.8438                893.0153  2020-10-01       81.0088


-----Stock trend report: 分众传媒-----
{'code': '002027.XSHE', 'display_name': '分众传媒', 'name': 'FZCM', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 9.58%
ema20 bias: 12.94%
ema5 > ema20: False
ema5 angle
0     2.434409
1     8.437860
2    15.937283
3    18.282198
4     8.731415
ema20 angle
0    2.381883
1    4.113619
2    6.752583
3    8.369704
4    6.507445
NATR
108    4.647926
109    4.498233
110    4.390112
111    4.293749
112    4.230764
113    4.133535
114    4.013712
115    4.091568
116    4.313995
117    4.349521
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807756  002027.XSHE   61.6688             NaN    8.6781   10.7389   813.3739       1467788.0   1184.5049        1467788.0               1184.5049  2020-10-01       63.1643


-----Stock trend report: 三花智控-----
{'code': '002050.XSHE', 'display_name': '三花智控', 'name': 'SHZK', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 3.86%
ema20 bias: 3.51%
ema5 > ema20: True
ema5 angle
0    31.499121
1    24.789999
2    10.272541
3     8.576920
4     0.413443
ema20 angle
0    11.002439
1    10.821323
2     7.786964
3     7.536389
4     5.315053
NATR
108    4.300560
109    4.131669
110    4.041892
111    3.892315
112    3.836261
113    3.976685
114    3.888420
115    3.965424
116    3.909401
117    3.975646
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806231  002050.XSHE   58.1339             NaN    8.6954    7.4011    47.1703     359204.1875    797.4333        351555.25                780.4527  2020-10-01       56.1097


-----Stock trend report: 中环股份-----
{'code': '002129.XSHE', 'display_name': '中环股份', 'name': 'ZHGF', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 5.71%
ema20 bias: 3.22%
ema5 > ema20: True
ema5 angle
0    25.606563
1    27.301569
2    33.189279
3    17.366733
4    20.898283
ema20 angle
0     7.469717
1     9.916130
2    13.860308
3    10.647487
4    12.386733
NATR
108    4.732757
109    4.724206
110    4.683292
111    4.547700
112    4.395237
113    4.390461
114    4.254986
115    4.234149
116    4.163647
117    4.043907
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805931  002129.XSHE   67.8686             NaN    3.5916    3.8193  -521.1918     303292.6562    671.7932      268323.6875                594.3369  2020-10-01       74.3413


-----Stock trend report: 石基信息-----
{'code': '002153.XSHE', 'display_name': '石基信息', 'name': 'SJXX', 'type': 'stock', 'parent': None}
above5: False
above20: True
above60: True
long arrange: True
ema5 bias: 4.58%
ema20 bias: 5.68%
ema5 > ema20: False
ema5 angle
0    40.349777
1    32.471490
2    33.461244
3    -2.064988
4    -9.129600
ema20 angle
0    19.970429
1    19.227629
2    20.965812
3    11.887005
4     8.609278
NATR
108    4.395597
109    4.225219
110    4.121680
111    3.948360
112    3.960077
113    3.994612
114    3.874912
115    3.845076
116    4.019813
117    3.968078
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807684  002153.XSHE  188.4904             NaN    4.7498   11.6776   -23.7332     107074.4141     410.095       48790.0977                186.8661  2020-10-01      111.4335


-----Stock trend report: 中航光电-----
{'code': '002179.XSHE', 'display_name': '中航光电', 'name': 'ZHGD', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 4.03%
ema20 bias: 4.61%
ema5 > ema20: False
ema5 angle
0    31.302323
1    45.530946
2    38.746051
3    34.798553
4    30.963200
ema20 angle
0     7.587996
1    16.476412
2    16.848179
3    17.729507
4    18.175389
NATR
108    3.971577
109    3.815363
110    3.821797
111    3.670035
112    3.562498
113    3.487135
114    3.477045
115    3.363742
116    3.234165
117    3.246309
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807990  002179.XSHE   43.8996             NaN    5.7881    5.4386   127.2354     110088.3672    509.7091      106493.4219                493.0645  2020-10-01        47.588


-----Stock trend report: 歌尔股份-----
{'code': '002241.XSHE', 'display_name': '歌尔股份', 'name': 'GEGF', 'type': 'stock', 'parent': None}
above5: False
above20: False
above60: True
long arrange: True
ema5 bias: 0.75%
ema20 bias: 7.21%
ema5 > ema20: False
ema5 angle
0    41.606584
1    40.098405
2    15.537079
3   -30.878725
4   -19.050948
ema20 angle
0    13.461589
1    16.066459
2    10.182897
3    -3.507581
4    -2.303178
NATR
108    4.968896
109    4.815886
110    4.619166
111    4.430173
112    4.408942
113    4.356055
114    4.199417
115    4.460224
116    4.849326
117    4.653872
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807672  002241.XSHE   85.3345             NaN    8.1152    3.5321    43.7655     324510.4062   1311.9955       276558.625               1118.1265  2020-10-01      102.4562


-----Stock trend report: 顺丰控股-----
{'code': '002352.XSHE', 'display_name': '顺丰控股', 'name': 'SFKG', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 7.12%
ema20 bias: 10.65%
ema5 > ema20: False
ema5 angle
0    63.833928
1    62.160921
2    68.930527
3    67.011039
4    16.247240
ema20 angle
0    34.502057
1    37.783065
2    47.264082
3    49.194721
4    34.304523
NATR
108    4.119285
109    4.047595
110    3.877448
111    3.762097
112    3.661254
113    3.696731
114    3.699924
115    3.846068
116    3.803620
117    4.056315
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805540  002352.XSHE   57.2881             NaN    7.9947    2.7767  -145.8184     455644.0312   3699.8296      448999.4688               3645.8757  2020-10-01       63.8286


-----Stock trend report: 广联达-----
{'code': '002410.XSHE', 'display_name': '广联达', 'name': 'GLD', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 7.92%
ema20 bias: 5.78%
ema5 > ema20: True
ema5 angle
0    60.411997
1    68.918862
2    62.234059
3    61.687953
4    52.731361
ema20 angle
0    29.669001
1    42.649133
2    41.411507
3    44.025481
4    41.873087
NATR
108    3.841407
109    3.709563
110    3.664546
111    3.623089
112    3.614910
113    3.594149
114    3.587216
115    3.510522
116    3.476099
117    3.416276
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806895  002410.XSHE  313.5641             NaN   14.2351   22.9185    31.2091     118443.0859    864.0423       90399.6641                659.4656  2020-10-01      367.5649


-----Stock trend report: 海康威视-----
{'code': '002415.XSHE', 'display_name': '海康威视', 'name': 'HKWS', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 2.99%
ema20 bias: 3.16%
ema5 > ema20: False
ema5 angle
0    18.312505
1    20.671823
2    21.877303
3    13.731612
4    19.268183
ema20 angle
0     6.530671
1     8.437559
2    10.041102
3     8.728835
4    10.882188
NATR
108    2.785672
109    2.889824
110    2.786297
111    2.769153
112    2.686813
113    2.690747
114    2.619804
115    2.587479
116    2.606605
117    2.545047
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58808057  002415.XSHE    27.776             NaN    8.1847    6.1397   982.9782     934501.0625   3561.3835      809539.1875               3085.1538  2020-10-01       28.6871


-----Stock trend report: 赣锋锂业-----
{'code': '002460.XSHE', 'display_name': '赣锋锂业', 'name': 'GFLY', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 6.16%
ema20 bias: 2.42%
ema5 > ema20: True
ema5 angle
0    47.487466
1    44.920212
2    52.953553
3    28.805299
4    45.282612
ema20 angle
0    21.188965
1    23.164929
2    29.928901
3    23.056102
4    29.635701
NATR
108    5.086746
109    4.878107
110    4.747931
111    4.644541
112    4.579844
113    4.595536
114    4.512888
115    4.452270
116    4.393177
117    4.210424
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806188  002460.XSHE  330.1645             NaN    8.9812   14.7219   -95.5524     133288.8438    722.2923       80134.8125                434.2505  2020-10-01      201.7176


-----Stock trend report: 立讯精密-----
{'code': '002475.XSHE', 'display_name': '立讯精密', 'name': 'LXJM', 'type': 'stock', 'parent': None}
above5: False
above20: True
above60: True
long arrange: True
ema5 bias: 4.16%
ema20 bias: 6.46%
ema5 > ema20: False
ema5 angle
0    58.585219
1    51.962339
2    33.110023
3    -5.629522
4    -0.709334
ema20 angle
0    29.530206
1    29.503469
2    24.456959
3    14.527125
4    14.019117
NATR
108    4.059276
109    4.052603
110    3.921287
111    3.791195
112    3.687513
113    3.689638
114    3.604825
115    3.737190
116    3.815128
117    3.698752
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806747  002475.XSHE   69.3886             NaN   17.5235    5.1464   369.0464      698387.125   3989.8855       697507.875               3984.8623  2020-10-01       84.6423


-----Stock trend report: 比亚迪-----
{'code': '002594.XSHE', 'display_name': '比亚迪', 'name': 'BYD', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 13.10%
ema20 bias: 17.45%
ema5 > ema20: False
ema5 angle
0    73.671530
1    78.672926
2    74.440934
3    70.331068
4    71.165956
ema20 angle
0    59.332493
1    66.519138
2    65.136869
3    64.189903
4    65.313516
NATR
108    5.434852
109    5.516692
110    5.261640
111    5.166572
112    5.136834
113    5.194595
114    5.000113
115    4.994690
116    4.825903
117    4.760202
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58809410  002594.XSHE  174.0208             NaN     5.731    2.5157   106.0313     272814.2812   3171.1934      114566.7578                1331.724  2020-10-01      196.4256


-----Stock trend report: 西部证券-----
{'code': '002673.XSHE', 'display_name': '西部证券', 'name': 'XBZQ', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 2.05%
ema20 bias: 1.79%
ema5 > ema20: True
ema5 angle
0    1.808143
1    7.089968
2    2.076213
3   -0.716055
4    8.624182
ema20 angle
0    0.483903
1    2.128433
2    1.162510
3    0.451690
4    3.025096
NATR
108    3.258917
109    3.263533
110    3.211580
111    3.144957
112    3.182769
113    3.057528
114    3.008942
115    2.986600
116    2.937100
117    3.152602
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58808541  002673.XSHE   42.3425             NaN    1.8394    8.6989   -21.3318     350183.9688    332.6748      350183.9688                332.6748  2020-10-01       54.5222


-----Stock trend report: 鹏鼎控股-----
{'code': '002938.XSHE', 'display_name': '鹏鼎控股', 'name': 'PDKG', 'type': 'stock', 'parent': None}
above5: False
above20: False
above60: True
long arrange: True
ema5 bias: 1.30%
ema20 bias: 7.01%
ema5 > ema20: False
ema5 angle
0    30.527392
1   -42.098958
2    32.387168
3   -36.764376
4   -39.965801
ema20 angle
0    22.926180
1     0.698885
2    20.020179
3    -0.264565
4    -5.785489
NATR
108    4.295434
109    4.153694
110    4.113034
111    4.103587
112    3.973007
113    4.117476
114    4.928558
115    4.785100
116    5.224739
117    5.115828
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58808374  002938.XSHE   42.5472             NaN    6.7701    4.8261     61.858     231143.0781   1321.9073       48016.9727                274.6091  2020-10-01       45.1994


-----Stock trend report: 亿纬锂能-----
{'code': '300014.XSHE', 'display_name': '亿纬锂能', 'name': 'YWLN', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 4.83%
ema20 bias: 3.19%
ema5 > ema20: True
ema5 angle
0    24.539408
1    57.849676
2    50.366497
3    27.394911
4    17.683610
ema20 angle
0     8.652680
1    26.807534
2    26.522963
3    20.286631
4    18.098562
NATR
108    4.888296
109    4.739105
110    4.633139
111    4.480128
112    4.436731
113    4.397276
114    4.335566
115    4.248872
116    4.268325
117    4.168218
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807035  300014.XSHE   65.7893             NaN   11.7634   12.9077    63.7049     184042.5156    911.0105      177701.7188                879.6235  2020-10-01       59.8558


-----Stock trend report: 爱尔眼科-----
{'code': '300015.XSHE', 'display_name': '爱尔眼科', 'name': 'AEYK', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 7.88%
ema20 bias: 7.32%
ema5 > ema20: True
ema5 angle
0    50.684370
1    65.063323
2    59.785031
3    46.345239
4    24.008127
ema20 angle
0    22.182924
1    36.899784
2    37.244320
3    33.434251
4    27.698407
NATR
108    3.583792
109    3.461728
110    3.398538
111    3.331261
112    3.350511
113    3.308467
114    3.437444
115    3.353124
116    3.282591
117    3.259188
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806128  300015.XSHE  155.8259             NaN   22.0266   22.5332    95.1435     412151.8125   2119.2847         341652.5               1756.7771  2020-10-01      153.6915


-----Stock trend report: 同花顺-----
{'code': '300033.XSHE', 'display_name': '同花顺', 'name': 'THS', 'type': 'stock', 'parent': None}
above5: False
above20: True
above60: True
long arrange: True
ema5 bias: 2.03%
ema20 bias: 5.32%
ema5 > ema20: False
ema5 angle
0    55.319885
1    69.995571
2    35.166942
3   -44.037546
4   -32.672232
ema20 angle
0    34.634542
1    48.605077
2    35.165900
3    12.787141
4    11.656353
NATR
108    4.777660
109    4.660753
110    4.507499
111    4.437593
112    4.458737
113    4.216157
114    4.166383
115    4.153460
116    4.175478
117    4.006279
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58805417  300033.XSHE   80.1531             NaN   21.5901   42.3131    69.2079         53760.0    859.4611       26888.7617                429.8706  2020-10-01        95.743


-----Stock trend report: 智飞生物-----
{'code': '300122.XSHE', 'display_name': '智飞生物', 'name': 'ZFSW', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 7.52%
ema20 bias: 6.24%
ema5 > ema20: True
ema5 angle
0    76.670853
1    78.096170
2    71.560464
3    71.936528
4    26.293995
ema20 angle
0    56.862149
1    62.698297
2    59.624811
3    61.586496
4    50.877835
NATR
108    6.630693
109    6.794747
110    6.991999
111    6.994384
112    6.652247
113    6.413533
114    6.087127
115    6.199096
116    5.984838
117    6.054951
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58807669  300122.XSHE   81.8262             NaN   30.7363   17.7715   972.1215        160000.0     2228.96       90036.9062               1254.3041  2020-10-01       94.1905


-----Stock trend report: 汇川技术-----
{'code': '300124.XSHE', 'display_name': '汇川技术', 'name': 'HCJS', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 6.75%
ema20 bias: 9.44%
ema5 > ema20: False
ema5 angle
0    60.789173
1    61.550647
2    46.859482
3    28.283557
4    23.205594
ema20 angle
0    32.557613
1    37.392223
2    32.817232
3    28.099581
4    26.706481
NATR
108    4.537644
109    4.371299
110    4.309374
111    4.157905
112    4.087306
113    4.148659
114    4.026432
115    3.954232
116    3.861728
117    3.720388
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio  pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58806877  300124.XSHE   74.9872             NaN   10.8365   10.5306   120.4508     171972.3438    995.7199      138144.0469                 799.854  2020-10-01      104.5994


-----Stock trend report: 泰格医药-----
{'code': '300347.XSHE', 'display_name': '泰格医药', 'name': 'TGYY', 'type': 'stock', 'parent': None}
above5: True
above20: True
above60: True
long arrange: True
ema5 bias: 5.04%
ema20 bias: 3.15%
ema5 > ema20: True
ema5 angle
0    64.871400
1    65.338350
2    67.509290
3    60.903217
4    43.669180
ema20 angle
0    30.676994
1    36.976336
2    43.724468
3    42.573130
4    37.295261
NATR
108    3.888861
109    3.807738
110    3.790291
111    3.751185
112    3.675821
113    3.678945
114    3.569992
115    3.532722
116    3.443899
117    3.341233
fundamental 
   Unnamed: 0        id         code  pe_ratio  turnover_ratio  pb_ratio  ps_ratio   pcf_ratio  capitalization  market_cap  circulating_cap  circulating_market_cap         day  pe_ratio_lyr
0           0  58808028  300347.XSHE    60.358             NaN   17.3231   30.7854  34778.2266      87258.0312    898.3215       54088.5078                556.8412  2020-10-01      106.7353


-----Stock trend report: 三环集团-----
